class	method	return	params
Landroid/app/Activity;	<init>	V	
Landroid/app/Activity;	dispatchTouchEvent	Z	Landroid/view/MotionEvent;
Landroid/app/Activity;	findViewById	Landroid/view/View;	I
Landroid/app/Activity;	finish	V	
Landroid/app/Activity;	getApplicationContext	Landroid/content/Context;	
Landroid/app/Activity;	getContentResolver	Landroid/content/ContentResolver;	
Landroid/app/Activity;	getPackageManager	Landroid/content/pm/PackageManager;	
Landroid/app/Activity;	getResources	Landroid/content/res/Resources;	
Landroid/app/Activity;	getSystemService	Ljava/lang/Object;	Ljava/lang/String;
Landroid/app/Activity;	getWindowManager	Landroid/view/WindowManager;	
Landroid/app/Activity;	onActivityResult	V	I,I,Landroid/content/Intent;
Landroid/app/Activity;	onCreate	V	Landroid/os/Bundle;
Landroid/app/Activity;	onCreateOptionsMenu	Z	Landroid/view/Menu;
Landroid/app/Activity;	onDestroy	V	
Landroid/app/Activity;	onKeyDown	Z	I,Landroid/view/KeyEvent;
Landroid/app/Activity;	onKeyUp	Z	I,Landroid/view/KeyEvent;
Landroid/app/Activity;	onOptionsItemSelected	Z	Landroid/view/MenuItem;
Landroid/app/Activity;	onPause	V	
Landroid/app/Activity;	onRestart	V	
Landroid/app/Activity;	onResume	V	
Landroid/app/Activity;	onStart	V	
Landroid/app/Activity;	onStop	V	
Landroid/app/Activity;	onWindowFocusChanged	V	Z
Landroid/app/Activity;	removeDialog	V	I
Landroid/app/Activity;	sendOrderedBroadcast	V	Landroid/content/Intent;,Ljava/lang/String;,Landroid/content/BroadcastReceiver;,Landroid/os/Handler;,I,Ljava/lang/String;,Landroid/os/Bundle;
Landroid/app/Activity;	showDialog	V	I
Landroid/app/Activity;	startActivity	V	Landroid/content/Intent;
Landroid/app/ActivityManager;	getRunningServices	Ljava/util/List;	I
Landroid/app/AlertDialog$Builder;	<init>	V	Landroid/content/Context;
Landroid/app/AlertDialog$Builder;	create	Landroid/app/AlertDialog;	
Landroid/app/AlertDialog$Builder;	setCancelable	Landroid/app/AlertDialog$Builder;	Z
Landroid/app/AlertDialog$Builder;	setIcon	Landroid/app/AlertDialog$Builder;	I
Landroid/app/AlertDialog$Builder;	setMessage	Landroid/app/AlertDialog$Builder;	I
Landroid/app/AlertDialog$Builder;	setMessage	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;
Landroid/app/AlertDialog$Builder;	setNegativeButton	Landroid/app/AlertDialog$Builder;	I,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setNegativeButton	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setPositiveButton	Landroid/app/AlertDialog$Builder;	I,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setPositiveButton	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setTitle	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;
Landroid/app/AlertDialog$Builder;	setView	Landroid/app/AlertDialog$Builder;	Landroid/view/View;
Landroid/app/AlertDialog$Builder;	show	Landroid/app/AlertDialog;	
Landroid/app/AlertDialog;	setOnCancelListener	V	Landroid/content/DialogInterface$OnCancelListener;
Landroid/app/AlertDialog;	setOnDismissListener	V	Landroid/content/DialogInterface$OnDismissListener;
Landroid/app/AlertDialog;	show	V	
Landroid/app/Application;	<init>	V	
Landroid/app/Application;	onCreate	V	
Landroid/app/Application;	onLowMemory	V	
Landroid/app/Application;	onTerminate	V	
Landroid/app/Dialog;	getWindow	Landroid/view/Window;	
Landroid/app/ProgressDialog;	<init>	V	Landroid/content/Context;
Landroid/app/ProgressDialog;	dismiss	V	
Landroid/app/ProgressDialog;	isShowing	Z	
Landroid/app/ProgressDialog;	setCancelable	V	Z
Landroid/app/ProgressDialog;	setIndeterminate	V	Z
Landroid/app/ProgressDialog;	setMessage	V	Ljava/lang/CharSequence;
Landroid/app/ProgressDialog;	setOnCancelListener	V	Landroid/content/DialogInterface$OnCancelListener;
Landroid/app/ProgressDialog;	setProgressStyle	V	I
Landroid/app/ProgressDialog;	setTitle	V	Ljava/lang/CharSequence;
Landroid/app/ProgressDialog;	show	V	
Landroid/app/Service;	<init>	V	
Landroid/app/Service;	onDestroy	V	
Landroid/app/Service;	onStart	V	Landroid/content/Intent;,I
Landroid/app/Service;	onUnbind	Z	Landroid/content/Intent;
Landroid/content/ActivityNotFoundException;	getMessage	Ljava/lang/String;	
Landroid/content/BroadcastReceiver;	<init>	V	
Landroid/content/ComponentName;	<init>	V	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/ComponentName;	getClassName	Ljava/lang/String;	
Landroid/content/ContentResolver;	query	Landroid/database/Cursor;	Landroid/net/Uri;,[Ljava/lang/String;,Ljava/lang/String;,[Ljava/lang/String;,Ljava/lang/String;
Landroid/content/ContentValues;	<init>	V	
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,Ljava/lang/Integer;
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,Ljava/lang/Long;
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,[B
Landroid/content/Context;	getApplicationContext	Landroid/content/Context;	
Landroid/content/Context;	getApplicationInfo	Landroid/content/pm/ApplicationInfo;	
Landroid/content/Context;	getAssets	Landroid/content/res/AssetManager;	
Landroid/content/Context;	getContentResolver	Landroid/content/ContentResolver;	
Landroid/content/Context;	getPackageManager	Landroid/content/pm/PackageManager;	
Landroid/content/Context;	getPackageName	Ljava/lang/String;	
Landroid/content/Context;	getResources	Landroid/content/res/Resources;	
Landroid/content/Context;	getSharedPreferences	Landroid/content/SharedPreferences;	Ljava/lang/String;,I
Landroid/content/Context;	getSystemService	Ljava/lang/Object;	Ljava/lang/String;
Landroid/content/Context;	registerReceiver	Landroid/content/Intent;	Landroid/content/BroadcastReceiver;,Landroid/content/IntentFilter;
Landroid/content/Context;	sendOrderedBroadcast	V	Landroid/content/Intent;,Ljava/lang/String;,Landroid/content/BroadcastReceiver;,Landroid/os/Handler;,I,Ljava/lang/String;,Landroid/os/Bundle;
Landroid/content/Context;	startActivity	V	Landroid/content/Intent;
Landroid/content/Context;	startService	Landroid/content/ComponentName;	Landroid/content/Intent;
Landroid/content/Context;	stopService	Z	Landroid/content/Intent;
Landroid/content/DialogInterface;	dismiss	V	
Landroid/content/Intent;	<init>	V	
Landroid/content/Intent;	<init>	V	Landroid/content/Context;,Ljava/lang/Class;
Landroid/content/Intent;	<init>	V	Ljava/lang/String;
Landroid/content/Intent;	<init>	V	Ljava/lang/String;,Landroid/net/Uri;
Landroid/content/Intent;	addCategory	Landroid/content/Intent;	Ljava/lang/String;
Landroid/content/Intent;	getAction	Ljava/lang/String;	
Landroid/content/Intent;	getBundleExtra	Landroid/os/Bundle;	Ljava/lang/String;
Landroid/content/Intent;	getDataString	Ljava/lang/String;	
Landroid/content/Intent;	getExtras	Landroid/os/Bundle;	
Landroid/content/Intent;	getFlags	I	
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,I
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,Landroid/os/Bundle;
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,Z
Landroid/content/Intent;	putExtras	Landroid/content/Intent;	Landroid/os/Bundle;
Landroid/content/Intent;	setAction	Landroid/content/Intent;	Ljava/lang/String;
Landroid/content/Intent;	setClassName	Landroid/content/Intent;	Landroid/content/Context;,Ljava/lang/String;
Landroid/content/Intent;	setComponent	Landroid/content/Intent;	Landroid/content/ComponentName;
Landroid/content/Intent;	setDataAndType	Landroid/content/Intent;	Landroid/net/Uri;,Ljava/lang/String;
Landroid/content/Intent;	setFlags	Landroid/content/Intent;	I
Landroid/content/Intent;	setType	Landroid/content/Intent;	Ljava/lang/String;
Landroid/content/IntentFilter;	<init>	V	
Landroid/content/IntentFilter;	addAction	V	Ljava/lang/String;
Landroid/content/SharedPreferences$Editor;	commit	Z	
Landroid/content/SharedPreferences$Editor;	putBoolean	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,Z
Landroid/content/SharedPreferences$Editor;	putFloat	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,F
